1.964300 4.595700 1
2.275300 3.858900 1
2.978100 4.565100 1
2.932000 3.551900 1
3.577200 2.856000 1
4.015000 3.193700 1
3.381400 3.429100 1
3.911300 4.176100 1
2.782200 4.043100 1
2.551800 4.616200 1
3.369800 3.910100 1
3.104800 3.070900 1
1.918200 4.053400 1
2.263800 4.370600 1
2.655500 3.500800 1
3.185500 4.288800 1
3.657900 3.869200 1
3.911300 3.429100 1
3.600200 3.122100 1
3.035700 3.316500 1
1.584100 3.357500 0
2.010300 3.203900 0
1.952700 2.784300 0
2.275300 2.712700 0
2.309900 2.958400 0
2.828300 2.630900 0
3.047300 2.293100 0
2.482700 2.037300 0
2.505700 2.385300 0
1.872100 2.057700 0
2.010300 2.354600 0
1.226900 2.323900 0
1.895100 2.917400 0
1.561000 3.070900 0
1.549500 2.692300 0
1.687800 2.405700 0
1.491900 2.027100 0
0.962000 2.682000 0
1.169300 2.927600 0
0.812200 2.999200 0
0.973500 3.388100 0
1.250000 3.193700 0
1.319100 3.510900 0
2.229200 2.201000 0
2.448200 2.641100 0
2.793800 1.965600 0
2.091000 1.617700 0
2.540300 2.886700 0
0.904400 3.019800 0
0.766150 2.589900 0
0.086405 4.104500 1
